Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Steven Adams,C,26,OKC,20,20,542,92,149,.617,0,1,.000,92,148,.622,.617,32,59,.542,60,126,186,58,10,25,29,38,216
Bam Adebayo,C,22,MIA,24,24,805,137,232,.591,1,8,.125,136,224,.607,.593,91,137,.664,61,192,253,105,34,28,72,64,366
LaMarcus Aldridge,C,34,SAS,21,21,691,161,314,.513,12,33,.364,149,281,.530,.532,62,74,.838,44,103,147,51,13,37,34,46,396
Nickeil Alexander-Walker,SG,21,NOP,20,0,281,46,141,.326,24,75,.320,22,66,.333,.411,11,16,.688,4,41,45,39,7,2,23,26,127
Grayson Allen,SG,24,MEM,13,0,246,38,92,.413,15,43,.349,23,49,.469,.495,15,17,.882,2,36,38,19,5,1,15,21,106
Jarrett Allen,C,21,BRK,23,20,610,112,169,.663,0,1,.000,112,168,.667,.663,60,100,.600,85,158,243,27,18,30,28,57,284
Kadeem Allen,SG,27,NYK,1,0,16,3,6,.500,3,4,.750,0,2,.000,.750,0,0,NA,0,0,0,2,1,0,1,1,9
Al-Farouq Aminu,PF,29,ORL,18,2,380,25,86,.291,9,36,.250,16,50,.320,.343,19,29,.655,24,63,87,21,18,8,17,27,78
Kyle Anderson,PF,26,MEM,17,0,348,47,93,.505,4,16,.250,43,77,.558,.527,16,28,.571,16,59,75,44,12,12,15,29,114
Ryan Anderson,PF,31,HOU,2,0,14,2,7,.286,1,5,.200,1,2,.500,.357,0,0,NA,0,7,7,2,1,0,1,1,5
Giannis Antetokounmpo,PF,25,MIL,24,24,758,275,488,.564,38,119,.319,237,369,.642,.602,153,260,.588,65,252,317,133,31,31,91,77,741
Kostas Antetokounmpo,PF,22,LAL,2,0,3,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,1,1,0,0,0,0,0,0
Thanasis Antetokounmpo,SF,27,MIL,4,0,25,6,10,.600,0,0,NA,6,10,.600,.600,2,4,.500,3,0,3,4,0,0,2,3,14
Carmelo Anthony,PF,35,POR,11,11,343,65,160,.406,17,43,.395,48,117,.410,.459,28,35,.800,10,52,62,15,13,3,24,35,175
OG Anunoby,SF,22,TOR,22,22,658,98,188,.521,34,81,.420,64,107,.598,.612,16,29,.552,22,101,123,40,30,20,25,51,246
Ryan Arcidiacono,PG,25,CHI,25,0,393,32,88,.364,22,56,.393,10,32,.313,.489,15,20,.750,13,27,40,41,12,2,17,47,101
Trevor Ariza,SF,34,SAC,16,0,355,28,78,.359,21,60,.350,7,18,.389,.494,9,12,.750,7,54,61,19,16,3,12,27,86
