Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Steven Adams,C,26,OKC,21,21,570,97,159,.610,0,1,.000,97,158,.614,.610,34,64,.531,65,131,196,62,10,27,30,39,228
Bam Adebayo,C,22,MIA,24,24,805,137,232,.591,1,8,.125,136,224,.607,.593,91,137,.664,61,192,253,105,34,28,72,64,366
LaMarcus Aldridge,C,34,SAS,22,22,730,167,330,.506,12,35,.343,155,295,.525,.524,68,82,.829,45,112,157,54,13,38,37,49,414
Nickeil Alexander-Walker,SG,21,NOP,21,0,291,48,145,.331,26,77,.338,22,68,.324,.421,11,16,.688,4,42,46,39,7,2,23,26,133
Grayson Allen,SG,24,MEM,13,0,246,38,92,.413,15,43,.349,23,49,.469,.495,15,17,.882,2,36,38,19,5,1,15,21,106
Jarrett Allen,C,21,BRK,24,21,636,119,178,.669,0,1,.000,119,177,.672,.669,67,111,.604,91,162,253,29,18,31,28,60,305
Kadeem Allen,SG,27,NYK,1,0,16,3,6,.500,3,4,.750,0,2,.000,.750,0,0,NA,0,0,0,2,1,0,1,1,9
Al-Farouq Aminu,PF,29,ORL,18,2,380,25,86,.291,9,36,.250,16,50,.320,.343,19,29,.655,24,63,87,21,18,8,17,27,78
Kyle Anderson,PF,26,MEM,18,0,361,48,97,.495,4,16,.250,44,81,.543,.515,17,29,.586,17,63,80,44,13,12,16,31,117
Ryan Anderson,PF,31,HOU,2,0,14,2,7,.286,1,5,.200,1,2,.500,.357,0,0,NA,0,7,7,2,1,0,1,1,5
Giannis Antetokounmpo,PF,25,MIL,24,24,758,275,488,.564,38,119,.319,237,369,.642,.602,153,260,.588,65,252,317,133,31,31,91,77,741
Kostas Antetokounmpo,PF,22,LAL,2,0,3,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,1,1,0,0,0,0,0,0
Thanasis Antetokounmpo,SF,27,MIL,4,0,25,6,10,.600,0,0,NA,6,10,.600,.600,2,4,.500,3,0,3,4,0,0,2,3,14
Carmelo Anthony,PF,35,POR,12,12,379,73,176,.415,19,48,.396,54,128,.422,.469,30,37,.811,10,61,71,16,15,5,26,36,195
OG Anunoby,SF,22,TOR,23,23,692,102,202,.505,35,88,.398,67,114,.588,.592,20,33,.606,24,106,130,40,31,22,27,54,259
Ryan Arcidiacono,PG,25,CHI,26,0,410,32,89,.360,22,56,.393,10,33,.303,.483,15,20,.750,13,29,42,41,12,2,17,50,101
Trevor Ariza,SF,34,SAC,17,0,384,30,81,.370,21,60,.350,9,21,.429,.500,10,13,.769,8,58,66,20,18,3,13,29,91
D.J. Augustin,PG,32,ORL,24,6,615,75,198,.379,24,81,.296,51,117,.436,.439,52,59,.881,11,47,58,111,18,0,35,28,226
Deandre Ayton,C,21,PHO,1,1,33,9,14,.643,0,0,NA,9,14,.643,.643,0,0,NA,3,8,11,0,1,4,0,2,18
Dwayne Bacon,SG,24,CHO,20,10,382,49,156,.314,10,43,.233,39,113,.345,.346,22,31,.710,9,43,52,25,15,2,19,32,130
Marvin Bagley,PF,20,SAC,2,1,51,11,29,.379,0,1,.000,11,28,.393,.379,3,5,.600,6,10,16,0,1,2,2,3,25
Lonzo Ball,PG,22,NOP,17,12,484,65,174,.374,35,105,.333,30,69,.435,.474,11,17,.647,14,63,77,96,21,6,46,33,176
Mo Bamba,C,21,ORL,22,0,343,50,118,.424,16,45,.356,34,73,.466,.492,7,12,.583,28,84,112,9,6,31,27,46,123
J.J. Barea,PG,35,DAL,6,0,84,20,45,.444,10,17,.588,10,28,.357,.556,2,2,1.000,2,8,10,17,2,1,5,2,52
Harrison Barnes,PF,27,SAC,24,24,850,131,283,.463,31,88,.352,100,195,.513,.518,90,113,.796,27,100,127,56,21,5,39,29,383
RJ Barrett,SG,19,NYK,24,24,772,126,321,.393,25,78,.321,101,243,.416,.431,65,119,.546,26,105,131,75,31,12,57,60,342
Will Barton,SF,29,DEN,21,21,685,117,256,.457,40,98,.408,77,158,.487,.535,36,50,.720,33,109,142,73,22,9,26,44,310
Keita Bates-Diop,SF,24,MIN,12,0,230,35,67,.522,17,35,.486,18,32,.563,.649,6,10,.600,6,28,34,8,4,6,5,13,93
Nicolas Batum,SF,31,CHO,14,0,306,16,46,.348,9,33,.273,7,13,.538,.446,5,5,1.000,16,43,59,43,11,7,19,26,46
Aron Baynes,C,33,PHO,15,12,346,79,146,.541,27,68,.397,52,78,.667,.634,30,41,.732,23,60,83,40,4,10,16,60,215
Kent Bazemore,SF,30,POR,26,5,604,66,192,.344,32,95,.337,34,97,.351,.427,38,47,.809,10,99,109,42,22,18,36,77,202
Darius Bazley,PF,19,OKC,24,1,405,33,89,.371,15,44,.341,18,45,.400,.455,11,18,.611,8,83,91,12,8,10,20,22,92
Bradley Beal,SG,26,WAS,23,23,850,218,487,.448,58,176,.330,160,311,.514,.507,137,164,.835,24,80,104,162,21,6,81,62,631
Malik Beasley,SG,23,DEN,18,0,283,43,113,.381,22,54,.407,21,59,.356,.478,6,7,.857,5,21,26,18,8,2,17,19,114
