Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Steven Adams,C,26,OKC,21,21,570,97,159,.610,0,1,.000,97,158,.614,.610,34,64,.531,65,131,196,62,10,27,30,39,228
Bam Adebayo,C,22,MIA,25,25,840,142,243,.584,1,8,.125,141,235,.600,.586,93,142,.655,65,200,265,110,34,29,74,66,378
LaMarcus Aldridge,C,34,SAS,22,22,730,167,330,.506,12,35,.343,155,295,.525,.524,68,82,.829,45,112,157,54,13,38,37,49,414
Nickeil Alexander-Walker,SG,21,NOP,22,0,301,49,148,.331,27,79,.342,22,69,.319,.422,11,16,.688,4,43,47,40,9,2,24,27,136
Grayson Allen,SG,24,MEM,13,0,246,38,92,.413,15,43,.349,23,49,.469,.495,15,17,.882,2,36,38,19,5,1,15,21,106
Jarrett Allen,C,21,BRK,24,21,636,119,178,.669,0,1,.000,119,177,.672,.669,67,111,.604,91,162,253,29,18,31,28,60,305
Kadeem Allen,SG,27,NYK,1,0,16,3,6,.500,3,4,.750,0,2,.000,.750,0,0,0,0,0,0,2,1,0,1,1,9
Al-Farouq Aminu,PF,29,ORL,18,2,380,25,86,.291,9,36,.250,16,50,.320,.343,19,29,.655,24,63,87,21,18,8,17,27,78
Kyle Anderson,PF,26,MEM,19,0,379,50,101,.495,4,16,.250,46,85,.541,.515,18,30,.600,20,66,86,45,14,12,17,32,122
Ryan Anderson,PF,31,HOU,2,0,14,2,7,.286,1,5,.200,1,2,.500,.357,0,0,0,0,7,7,2,1,0,1,1,5
Giannis Antetokounmpo,PF,25,MIL,25,25,785,287,511,.562,41,126,.325,246,385,.639,.602,163,273,.597,67,261,328,135,32,31,95,81,778
Kostas Antetokounmpo,PF,22,LAL,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Thanasis Antetokounmpo,SF,27,MIL,5,0,25,6,10,.600,0,0,0,6,10,.600,.600,2,4,.500,3,0,3,4,0,0,2,3,14
Carmelo Anthony,PF,35,POR,12,12,379,73,176,.415,19,48,.396,54,128,.422,.469,30,37,.811,10,61,71,16,15,5,26,36,195
OG Anunoby,SF,22,TOR,23,23,692,102,202,.505,35,88,.398,67,114,.588,.592,20,33,.606,24,106,130,40,31,22,27,54,259
Ryan Arcidiacono,PG,25,CHI,27,0,431,36,96,.375,24,60,.400,12,36,.333,.500,17,22,.773,14,31,45,42,13,2,17,52,113
Trevor Ariza,SF,34,SAC,18,0,408,30,86,.349,21,63,.333,9,23,.391,.471,10,13,.769,8,61,69,22,18,3,14,30,91
D.J. Augustin,PG,32,ORL,25,6,641,76,203,.374,25,85,.294,51,118,.432,.436,52,59,.881,12,50,62,116,18,0,36,29,229
Deandre Ayton,C,21,PHO,1,1,33,9,14,.643,0,0,0,9,14,.643,.643,0,0,0,3,8,11,0,1,4,0,2,18
Dwayne Bacon,SG,24,CHO,20,10,382,49,156,.314,10,43,.233,39,113,.345,.346,22,31,.710,9,43,52,25,15,2,19,32,130
Marvin Bagley,PF,20,SAC,3,1,72,16,39,.410,0,2,.000,16,37,.432,.410,3,5,.600,9,14,23,0,1,4,4,6,35
Lonzo Ball,PG,22,NOP,18,12,507,67,180,.372,36,108,.333,31,72,.431,.472,12,19,.632,15,64,79,99,22,6,47,35,182
Mo Bamba,C,21,ORL,23,0,358,53,124,.427,17,46,.370,36,78,.462,.496,9,14,.643,31,87,118,10,6,31,27,47,132
J.J. Barea,PG,35,DAL,6,0,84,20,45,.444,10,17,.588,10,28,.357,.556,2,2,1.000,2,8,10,17,2,1,5,2,52
Harrison Barnes,PF,27,SAC,25,25,887,138,297,.465,34,94,.362,104,203,.512,.522,91,115,.791,27,105,132,58,21,5,40,32,401
RJ Barrett,SG,19,NYK,25,25,804,130,335,.388,25,83,.301,105,252,.417,.425,65,119,.546,27,108,135,77,31,12,57,60,350
Will Barton,SF,29,DEN,21,21,685,117,256,.457,40,98,.408,77,158,.487,.535,36,50,.720,33,109,142,73,22,9,26,44,310
Keita Bates-Diop,SF,24,MIN,13,0,241,35,68,.515,17,36,.472,18,32,.563,.640,6,10,.600,6,28,34,8,4,6,5,13,93
Nicolas Batum,SF,31,CHO,14,0,306,16,46,.348,9,33,.273,7,13,.538,.446,5,5,1.000,16,43,59,43,11,7,19,26,46
Aron Baynes,C,33,PHO,15,12,346,79,146,.541,27,68,.397,52,78,.667,.634,30,41,.732,23,60,83,40,4,10,16,60,215
Kent Bazemore,SF,30,POR,26,5,604,66,192,.344,32,95,.337,34,97,.351,.427,38,47,.809,10,99,109,42,22,18,36,77,202
Darius Bazley,PF,19,OKC,24,1,405,33,89,.371,15,44,.341,18,45,.400,.455,11,18,.611,8,83,91,12,8,10,20,22,92
Bradley Beal,SG,26,WAS,23,23,850,218,487,.448,58,176,.330,160,311,.514,.507,137,164,.835,24,80,104,162,21,6,81,62,631
Malik Beasley,SG,23,DEN,18,0,283,43,113,.381,22,54,.407,21,59,.356,.478,6,7,.857,5,21,26,18,8,2,17,19,114
Marco Belinelli,SG,33,SAS,22,0,360,43,129,.333,22,64,.344,21,65,.323,.419,15,21,.714,1,35,36,32,5,0,9,17,123
Jordan Bell,C,25,MIN,15,0,150,20,36,.556,0,5,.000,20,31,.645,.556,14,23,.609,16,35,51,10,1,7,14,11,54
DeAndre' Bembry,SG,25,ATL,26,4,610,73,150,.487,9,38,.237,64,112,.571,.517,18,37,.486,25,82,107,63,34,12,39,52,173
Dragan Bender,SF,22,MIL,3,0,29,6,8,.750,2,4,.500,4,4,1.000,.875,1,1,1.000,0,2,2,3,0,2,1,6,15
Dāvis Bertāns,PF,27,WAS,23,1,665,120,253,.474,92,198,.465,28,55,.509,.656,28,32,.875,22,86,108,36,14,14,14,58,360
Patrick Beverley,PG,31,LAC,24,24,707,69,172,.401,34,103,.330,35,69,.507,.500,14,23,.609,33,118,151,77,35,13,35,87,186
Khem Birch,C,27,ORL,16,11,375,28,57,.491,0,1,.000,28,56,.500,.491,13,26,.500,33,57,90,18,10,13,11,41,69
Goga Bitadze,C,20,IND,20,2,221,26,57,.456,4,14,.286,22,43,.512,.491,14,19,.737,16,36,52,14,1,19,10,33,70
Nemanja Bjelica,PF,31,SAC,25,24,658,112,236,.475,48,110,.436,64,126,.508,.576,19,21,.905,46,117,163,69,24,14,41,74,291
Eric Bledsoe,PG,30,MIL,26,26,693,147,308,.477,32,93,.344,115,215,.535,.529,65,80,.813,21,107,128,147,22,12,60,60,391
Bogdan Bogdanović,SG,27,SAC,23,0,634,117,283,.413,61,158,.386,56,125,.448,.521,34,50,.680,6,57,63,90,27,2,43,44,329
Bojan Bogdanović,SF,30,UTA,25,25,832,172,383,.449,82,180,.456,90,203,.443,.556,93,106,.877,16,93,109,50,17,4,72,47,519
Isaac Bonga,SF,20,WAS,18,12,279,25,52,.481,4,15,.267,21,37,.568,.519,10,13,.769,12,32,44,24,12,4,10,38,64
Devin Booker,SG,23,PHO,24,24,861,213,420,.507,54,133,.406,159,287,.554,.571,121,134,.903,15,79,94,154,15,8,91,72,601
Chris Boucher,PF,27,TOR,21,0,249,41,91,.451,11,34,.324,30,57,.526,.511,20,29,.690,41,47,88,10,7,15,8,28,113
Brian Bowen,SG,21,IND,3,0,10,1,4,.250,0,1,.000,1,3,.333,.250,0,0,0,0,1,1,0,0,1,0,0,2
Ky Bowman,PG,22,GSW,26,6,596,88,194,.454,27,65,.415,61,129,.473,.523,20,22,.909,13,56,69,70,23,3,31,55,223
Avery Bradley,SG,29,LAL,12,10,310,47,97,.485,8,32,.250,39,65,.600,.526,6,8,.750,8,29,37,18,10,1,12,31,108
Tony Bradley,C,22,UTA,18,2,164,33,54,.611,0,0,NA,33,54,.611,.611,11,16,.688,25,38,63,5,2,8,8,28,77
Jarrell Brantley,PF,23,UTA,2,0,9,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,4,4,1,0,2,1,1,0
Ignas Brazdeikis,SF,21,NYK,7,0,47,5,20,.250,1,8,.125,4,12,.333,.275,3,4,.750,2,3,5,2,0,1,2,3,14
Mikal Bridges,SF,23,PHO,24,0,506,62,124,.500,12,40,.300,50,84,.595,.548,34,44,.773,21,67,88,26,32,8,20,44,170
Miles Bridges,SF,21,CHO,28,28,874,138,315,.438,48,126,.381,90,189,.476,.514,38,50,.760,37,112,149,50,14,22,47,59,362
Oshae Brissett,SF,21,TOR,4,0,17,1,3,.333,1,1,1.000,0,2,.000,.500,0,0,NA,0,1,1,1,1,0,1,0,3
