,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Steven Adams,C,26,OKC,20,20,542,92,149,0.617,0,1,0.0,92,148,0.622,0.617,32,59,0.542,60,126,186,58,10,25,29,38,216
1,Bam Adebayo,C,22,MIA,23,23,761,124,214,0.579,1,7,0.14300000000000002,123,207,0.594,0.5820000000000001,87,132,0.659,57,185,242,94,32,28,68,59,336
2,LaMarcus Aldridge,C,34,SAS,21,21,691,161,314,0.513,12,33,0.364,149,281,0.53,0.532,62,74,0.838,44,103,147,51,13,37,34,46,396
3,Nickeil Alexander-Walker,SG,21,NOP,20,0,281,46,141,0.326,24,75,0.32,22,66,0.33299999999999996,0.41100000000000003,11,16,0.688,4,41,45,39,7,2,23,26,127
4,Grayson Allen,SG,24,MEM,13,0,246,38,92,0.413,15,43,0.349,23,49,0.469,0.495,15,17,0.882,2,36,38,19,5,1,15,21,106
5,Jarrett Allen,C,21,BRK,23,20,610,112,169,0.6629999999999999,0,1,0.0,112,168,0.667,0.6629999999999999,60,100,0.6,85,158,243,27,18,30,28,57,284
6,Kadeem Allen,SG,27,NYK,1,0,16,3,6,0.5,3,4,0.75,0,2,0.0,0.75,0,0,0.0,0,0,0,2,1,0,1,1,9
7,Al-Farouq Aminu,PF,29,ORL,18,2,380,25,86,0.29100000000000004,9,36,0.25,16,50,0.32,0.34299999999999997,19,29,0.655,24,63,87,21,18,8,17,27,78
8,Kyle Anderson,PF,26,MEM,17,0,348,47,93,0.505,4,16,0.25,43,77,0.5579999999999999,0.527,16,28,0.5710000000000001,16,59,75,44,12,12,15,29,114
9,Ryan Anderson,PF,31,HOU,2,0,14,2,7,0.28600000000000003,1,5,0.2,1,2,0.5,0.35700000000000004,0,0,0.0,0,7,7,2,1,0,1,1,5
10,Giannis Antetokounmpo,PF,25,MIL,24,24,758,275,488,0.564,38,119,0.319,237,369,0.642,0.602,153,260,0.588,65,252,317,133,31,31,91,77,741
11,Kostas Antetokounmpo,PF,22,LAL,2,0,3,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,1,1,0,0,0,0,0,0
12,Thanasis Antetokounmpo,SF,27,MIL,4,0,25,6,10,0.6,0,0,0.0,6,10,0.6,0.6,2,4,0.5,3,0,3,4,0,0,2,3,14
13,Carmelo Anthony,PF,35,POR,10,10,318,60,147,0.408,14,39,0.359,46,108,0.426,0.456,25,29,0.862,10,48,58,15,11,2,21,33,159
14,OG Anunoby,SF,22,TOR,22,22,658,98,188,0.521,34,81,0.42,64,107,0.598,0.612,16,29,0.552,22,101,123,40,30,20,25,51,246
15,Ryan Arcidiacono,PG,25,CHI,25,0,393,32,88,0.364,22,56,0.39299999999999996,10,32,0.313,0.489,15,20,0.75,13,27,40,41,12,2,17,47,101
16,Trevor Ariza,SF,34,SAC,16,0,355,28,78,0.359,21,60,0.35,7,18,0.389,0.494,9,12,0.75,7,54,61,19,16,3,12,27,86
17,D.J. Augustin,PG,32,ORL,23,5,589,74,195,0.379,24,80,0.3,50,115,0.435,0.441,52,59,0.8809999999999999,11,44,55,109,18,0,33,25,224
18,Deandre Ayton,C,21,PHO,1,1,33,9,14,0.643,0,0,0.0,9,14,0.643,0.643,0,0,0.0,3,8,11,0,1,4,0,2,18
19,Dwayne Bacon,SG,24,CHO,19,10,375,49,153,0.32,10,42,0.23800000000000002,39,111,0.35100000000000003,0.353,20,29,0.69,8,42,50,24,15,2,19,32,128
20,Marvin Bagley,PF,20,SAC,1,1,28,6,16,0.375,0,0,0.0,6,16,0.375,0.375,2,4,0.5,4,6,10,0,1,1,1,1,14
21,Lonzo Ball,PG,22,NOP,16,12,461,63,165,0.382,34,100,0.34,29,65,0.446,0.485,10,14,0.7140000000000001,13,59,72,90,17,6,42,33,170
22,Mo Bamba,C,21,ORL,21,0,324,45,109,0.413,15,41,0.366,30,68,0.441,0.48200000000000004,5,10,0.5,27,81,108,9,6,30,26,46,110
23,J.J. Barea,PG,35,DAL,6,0,84,20,45,0.444,10,17,0.588,10,28,0.35700000000000004,0.556,2,2,1.0,2,8,10,17,2,1,5,2,52
24,Harrison Barnes,PF,27,SAC,23,23,816,129,274,0.47100000000000003,31,86,0.36,98,188,0.521,0.527,89,111,0.802,26,96,122,53,21,5,37,29,378
25,RJ Barrett,SG,19,NYK,22,22,707,117,296,0.395,22,71,0.31,95,225,0.42200000000000004,0.43200000000000005,59,111,0.532,26,91,117,72,30,11,54,55,315
26,Will Barton,SF,29,DEN,19,19,611,101,225,0.449,36,87,0.414,65,138,0.47100000000000003,0.529,31,43,0.721,30,94,124,62,19,7,24,41,269
27,Keita Bates-Diop,SF,24,MIN,12,0,230,35,67,0.522,17,35,0.486,18,32,0.563,0.649,6,10,0.6,6,28,34,8,4,6,5,13,93
28,Nicolas Batum,SF,31,CHO,13,0,293,16,44,0.364,9,33,0.273,7,11,0.636,0.466,5,5,1.0,15,42,57,42,11,7,19,22,46
29,Aron Baynes,C,33,PHO,14,12,328,76,136,0.5589999999999999,27,64,0.42200000000000004,49,72,0.6809999999999999,0.6579999999999999,24,34,0.706,20,58,78,39,4,10,15,55,203
30,Kent Bazemore,SF,30,POR,24,3,552,62,180,0.344,31,87,0.35600000000000004,31,93,0.33299999999999996,0.431,34,43,0.7909999999999999,10,93,103,40,21,18,34,73,189
31,Darius Bazley,PF,19,OKC,23,1,394,33,85,0.38799999999999996,15,42,0.35700000000000004,18,43,0.419,0.47600000000000003,11,18,0.611,8,79,87,12,8,10,18,22,92
32,Bradley Beal,SG,26,WAS,22,22,813,212,468,0.45299999999999996,58,169,0.34299999999999997,154,299,0.515,0.515,133,159,0.836,22,78,100,153,21,5,77,59,615
33,Malik Beasley,SG,23,DEN,17,0,271,41,108,0.38,21,51,0.41200000000000003,20,57,0.35100000000000003,0.47700000000000004,6,7,0.857,5,20,25,18,8,2,16,19,109
34,Marco Belinelli,SG,33,SAS,21,0,340,39,124,0.315,21,63,0.33299999999999996,18,61,0.295,0.39899999999999997,15,21,0.7140000000000001,1,34,35,32,5,0,9,17,114
35,Jordan Bell,C,25,MIN,13,0,125,18,33,0.545,0,5,0.0,18,28,0.643,0.545,11,19,0.579,13,33,46,8,0,6,14,10,47
36,DeAndre' Bembry,SG,25,ATL,23,4,588,71,145,0.49,9,36,0.25,62,109,0.569,0.521,18,37,0.486,25,80,105,63,33,11,35,51,169
37,Dragan Bender,SF,22,MIL,3,0,29,6,8,0.75,2,4,0.5,4,4,1.0,0.875,1,1,1.0,0,2,2,3,0,2,1,6,15
38,Dāvis Bertāns,PF,27,WAS,22,1,635,109,235,0.46399999999999997,84,186,0.452,25,49,0.51,0.643,26,30,0.867,20,79,99,35,14,13,14,55,328
39,Patrick Beverley,PG,31,LAC,23,23,688,65,164,0.396,31,98,0.316,34,66,0.515,0.491,14,23,0.609,32,115,147,75,34,12,34,87,175
40,Khem Birch,C,27,ORL,14,9,319,23,47,0.489,0,1,0.0,23,46,0.5,0.489,13,26,0.5,31,50,81,16,8,11,11,37,59
41,Goga Bitadze,C,20,IND,18,2,218,26,57,0.456,4,14,0.28600000000000003,22,43,0.512,0.491,14,19,0.737,16,36,52,14,1,19,10,33,70
42,Bismack Biyombo,C,27,CHO,23,8,381,67,118,0.568,0,0,0.0,67,118,0.568,0.568,39,69,0.565,37,62,99,19,6,17,15,44,173
43,Nemanja Bjelica,PF,31,SAC,23,22,609,105,219,0.479,43,101,0.426,62,118,0.525,0.578,16,17,0.941,45,111,156,62,24,13,39,69,269
44,Eric Bledsoe,PG,30,MIL,24,24,650,134,289,0.46399999999999997,27,86,0.314,107,203,0.527,0.51,55,70,0.7859999999999999,21,100,121,137,19,12,55,57,350
45,Bogdan Bogdanović,SG,27,SAC,21,0,576,105,261,0.402,55,146,0.377,50,115,0.435,0.508,33,46,0.7170000000000001,6,53,59,89,26,2,37,38,298
46,Bojan Bogdanović,SF,30,UTA,23,23,761,160,351,0.456,72,159,0.45299999999999996,88,192,0.45799999999999996,0.5579999999999999,81,92,0.88,16,86,102,46,17,4,62,45,473
47,Jonah Bolden,PF,24,PHI,2,0,5,1,1,1.0,0,0,0.0,1,1,1.0,1.0,0,2,0.0,0,0,0,0,1,0,1,0,2
48,Jordan Bone,PG,22,DET,3,0,6,2,5,0.4,0,1,0.0,2,4,0.5,0.4,0,0,0.0,0,0,0,0,0,0,2,2,4
49,Isaac Bonga,SF,20,WAS,17,11,264,25,49,0.51,4,13,0.308,21,36,0.583,0.551,10,13,0.769,11,32,43,23,11,3,9,35,64
50,Devin Booker,SG,23,PHO,23,23,822,207,403,0.514,54,130,0.415,153,273,0.56,0.581,118,130,0.9079999999999999,14,75,89,144,14,8,90,71,586
51,Chris Boucher,PF,27,TOR,20,0,240,39,86,0.45299999999999996,10,31,0.32299999999999995,29,55,0.527,0.512,20,29,0.69,40,45,85,10,7,15,8,27,108
52,Brian Bowen,SG,21,IND,3,0,10,1,4,0.25,0,1,0.0,1,3,0.33299999999999996,0.25,0,0,0.0,0,1,1,0,0,1,0,0,2
